card_id,collector_number,card_name,finish,pokemon_tcg_api_card_id,pokemon_tcg_api_variant,api_low,api_market,api_mid,api_high,api_updated_at,tcgdex_card_id,tcgdex_variant,tcgdex_low,tcgdex_market,tcgdex_updated_at,comparison_status,difference_low,difference_market,identity_status,finish_status,eligible,reason
25227,033,Nidorino,normal,sv3pt5-33,normal,0.01,0.21,0.21,2.17,2026/09/01,sv03.5-033,normal,0.01,0.21,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25228,033,Nidorino,reverse_holo,sv3pt5-33,reverseHolofoil,0.1,0.27,0.28,15.23,2026/09/01,sv03.5-033,reverse-holofoil,0.1,0.27,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25229,034,Nidoking,holo,sv3pt5-34,holofoil,0.09,0.3,0.32,25.0,2026/09/01,sv03.5-034,holofoil,0.09,0.3,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25230,034,Nidoking,reverse_holo,sv3pt5-34,reverseHolofoil,0.61,1.71,1.75,17.19,2026/09/01,sv03.5-034,reverse-holofoil,0.61,1.71,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25231,035,Clefairy,normal,sv3pt5-35,normal,0.01,0.22,0.23,19.54,2026/09/01,sv03.5-035,normal,0.01,0.22,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25232,035,Clefairy,reverse_holo,sv3pt5-35,reverseHolofoil,0.09,0.32,0.32,36.0,2026/09/01,sv03.5-035,reverse-holofoil,0.09,0.32,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25233,036,Clefable,normal,sv3pt5-36,normal,0.02,0.14,0.2,19.98,2026/09/01,sv03.5-036,normal,0.02,0.14,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25234,036,Clefable,reverse_holo,sv3pt5-36,reverseHolofoil,0.05,0.32,0.31,15.29,2026/09/01,sv03.5-036,reverse-holofoil,0.05,0.32,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25235,037,Vulpix,normal,sv3pt5-37,normal,0.01,0.16,0.19,19.6,2026/09/01,sv03.5-037,normal,0.01,0.16,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25236,037,Vulpix,reverse_holo,sv3pt5-37,reverseHolofoil,0.01,0.34,0.34,18.94,2026/09/01,sv03.5-037,reverse-holofoil,0.01,0.34,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25237,038,Ninetales ex,holo,sv3pt5-38,holofoil,1.0,2.23,2.37,64.0,2026/09/01,sv03.5-038,holofoil,1.0,2.28,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.02192982456140343,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25238,039,Jigglypuff,normal,sv3pt5-39,normal,0.01,0.17,0.2,19.74,2026/09/01,sv03.5-039,normal,0.01,0.17,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25239,039,Jigglypuff,reverse_holo,sv3pt5-39,reverseHolofoil,0.1,0.32,0.34,19.48,2026/09/01,sv03.5-039,reverse-holofoil,0.1,0.31,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.03125000000000003,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25240,040,Wigglytuff ex,holo,sv3pt5-40,holofoil,0.3,1.43,1.47,25.0,2026/09/01,sv03.5-040,holofoil,0.3,1.48,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.03378378378378381,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25241,041,Zubat,normal,sv3pt5-41,normal,0.01,0.11,0.15,990.0,2026/09/01,sv03.5-041,normal,0.01,0.11,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25242,041,Zubat,reverse_holo,sv3pt5-41,reverseHolofoil,0.1,0.26,0.28,15.23,2026/09/01,sv03.5-041,reverse-holofoil,0.1,0.26,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25243,042,Golbat,normal,sv3pt5-42,normal,0.01,0.09,0.17,20.0,2026/09/01,sv03.5-042,normal,0.01,0.09,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25244,042,Golbat,reverse_holo,sv3pt5-42,reverseHolofoil,0.09,0.31,0.3,19.04,2026/09/01,sv03.5-042,reverse-holofoil,0.09,0.31,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25245,043,Oddish,normal,sv3pt5-43,normal,0.01,0.17,0.18,19.98,2026/09/01,sv03.5-043,normal,0.01,0.16,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.058823529411764754,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25246,043,Oddish,reverse_holo,sv3pt5-43,reverseHolofoil,0.05,0.26,0.28,18.18,2026/09/01,sv03.5-043,reverse-holofoil,0.05,0.26,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
