set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,27,English,Default,card,Stone by Sunlight,c5752731-253c-4b41-bdd8-94c26d715206,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,28,English,Default,card,Thorin's Last Stand,127367b6-9cfe-4516-9bfd-5b951468a25c,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,28,English,Default,card,Thorin's Last Stand,127367b6-9cfe-4516-9bfd-5b951468a25c,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,29,English,Default,card,An Unexpected Party // At the Door,3aa29fe8-1687-486f-b4df-c04977869ab1,adventure,Enchantment // Sorcery — Adventure,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,29,English,Default,card,An Unexpected Party // At the Door,3aa29fe8-1687-486f-b4df-c04977869ab1,adventure,Enchantment // Sorcery — Adventure,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,30,English,Default,card,Velvetwing Butterflies // Gaze in Wonder,5cc0f994-5048-4898-926e-b56cbc97e0ca,adventure,Creature — Insect // Instant — Adventure,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,30,English,Default,card,Velvetwing Butterflies // Gaze in Wonder,5cc0f994-5048-4898-926e-b56cbc97e0ca,adventure,Creature — Insect // Instant — Adventure,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,31,English,Default,card,Vow to Erebor,8d4f3eb5-fedf-45d6-8bd8-aacbe0ce33b2,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,31,English,Default,card,Vow to Erebor,8d4f3eb5-fedf-45d6-8bd8-aacbe0ce33b2,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,32,English,Default,card,"Bilbo, Luckwearer // Burglar's Plot",8bff0aa6-16d9-4c83-b598-ef00a3b33d2c,adventure,Legendary Creature — Halfling Rogue // Sorcery — Adventure,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,32,English,Default,card,"Bilbo, Luckwearer // Burglar's Plot",8bff0aa6-16d9-4c83-b598-ef00a3b33d2c,adventure,Legendary Creature — Halfling Rogue // Sorcery — Adventure,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,33,English,Default,card,"Bilbo, Thief in the Night",484c7f83-8339-4ae1-8350-68ce1f7d05a3,normal,Legendary Creature — Halfling Rogue,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,33,English,Default,card,"Bilbo, Thief in the Night",484c7f83-8339-4ae1-8350-68ce1f7d05a3,normal,Legendary Creature — Halfling Rogue,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
