idProduct,idMetacard,product_name,candidate_collector_number_1,candidate_card_1,candidate_finish_scope_1,candidate_collector_number_2,candidate_card_2,candidate_finish_scope_2,candidate_collector_number_3,candidate_card_3,candidate_finish_scope_3,reason,missing_evidence,recommended_review,approved
719629,421140,Poliwhirl [Wave Splash | Frog Hop],061,Poliwhirl,"normal,reverse_holo",176,Poliwhirl,holo,,,,name_signature=poliwhirl; attack_signature=wave splash | frog hop; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719630,421146,Machoke [Mountain Ramming],067,Machoke,"normal,reverse_holo",177,Machoke,holo,,,,name_signature=machoke; attack_signature=mountain ramming; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719631,421193,Tangela [Tactful Tangling],114,Tangela,"normal,reverse_holo",178,Tangela,holo,,,,name_signature=tangela; attack_signature=tactful tangling; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719632,421201,Mr. Mime [Mimic Barrier | Psypower],122,Mr. Mime,"holo,reverse_holo",179,Mr. Mime,holo,,,,name_signature=mr mime; attack_signature=mimic barrier | psypower; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719633,421217,Omanyte [Tentacular Return],138,Omanyte,"normal,reverse_holo",180,Omanyte,holo,,,,name_signature=omanyte; attack_signature=tentacular return; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719635,421227,Dragonair [Beat | Aqua Slash],148,Dragonair,"normal,reverse_holo",181,Dragonair,holo,,,,name_signature=dragonair; attack_signature=beat | aqua slash; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719637,421082,Venusaur ex [Tranquil Flower | Dangerous Toxwhip],003,Venusaur ex,holo,182,Venusaur ex,holo,198,Venusaur ex,holo,name_signature=venusaur ex; attack_signature=tranquil flower | dangerous toxwhip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719638,421085,Charizard ex [Brave Wing | Explosive Vortex],006,Charizard ex,holo,183,Charizard ex,holo,199,Charizard ex,holo,name_signature=charizard ex; attack_signature=brave wing | explosive vortex; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719639,421088,Blastoise ex [Solid Shell | Twin Cannons],009,Blastoise ex,holo,184,Blastoise ex,holo,200,Blastoise ex,holo,name_signature=blastoise ex; attack_signature=solid shell | twin cannons; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719640,421103,Arbok ex [Bind Down | Menacing Fangs],024,Arbok ex,holo,185,Arbok ex,holo,,,,name_signature=arbok ex; attack_signature=bind down | menacing fangs; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719641,421117,Ninetales ex [Heat Wave | Mirrored Flames],038,Ninetales ex,holo,186,Ninetales ex,holo,,,,name_signature=ninetales ex; attack_signature=heat wave | mirrored flames; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719642,421119,Wigglytuff ex [Expanding Body | Friend Tackle],040,Wigglytuff ex,holo,187,Wigglytuff ex,holo,,,,name_signature=wigglytuff ex; attack_signature=expanding body | friend tackle; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
