canonical_id,physical_card_id,collector_number,card_name,finish,treatment,variant_status,evidence,source
23412,25273,057,Primeape,normal,,CONFIRMED,Cardmarket candidate ids=733652; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23412,25274,057,Primeape,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733652; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23413,25275,058,Growlithe,normal,,CONFIRMED,Cardmarket candidate ids=733653; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23413,25276,058,Growlithe,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733653; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23414,25277,059,Arcanine,normal,,CONFIRMED,Cardmarket candidate ids=733654; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23414,25278,059,Arcanine,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733654; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23415,25279,060,Poliwag,normal,,CONFIRMED,Cardmarket candidate ids=733655; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23415,25280,060,Poliwag,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733655; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23416,25281,061,Poliwhirl,normal,,CONFIRMED,Cardmarket candidate ids=733656; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23416,25282,061,Poliwhirl,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733656; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23417,25283,062,Poliwrath,normal,,CONFIRMED,Cardmarket candidate ids=733657; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23417,25284,062,Poliwrath,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733657; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23418,25285,063,Abra,normal,,CONFIRMED,Cardmarket candidate ids=733658; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23418,25286,063,Abra,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733658; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23419,25287,064,Kadabra,normal,,CONFIRMED,Cardmarket candidate ids=733659; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23419,25288,064,Kadabra,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733659; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23420,25289,065,Alakazam ex,holo,,CONFIRMED,Cardmarket candidate ids=733660; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23421,25290,066,Machop,normal,,CONFIRMED,Cardmarket candidate ids=733661; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23421,25291,066,Machop,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733661; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23422,25292,067,Machoke,normal,,CONFIRMED,Cardmarket candidate ids=733662; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23422,25293,067,Machoke,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733662; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23423,25294,068,Machamp,holo,,CONFIRMED,"Cardmarket candidate ids=733663,864951; local_target_ids=none; finish is separate from rarity.",tcgdex.variants + tcgdex.variants_detailed
23423,25295,068,Machamp,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733663; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23424,25296,069,Bellsprout,normal,,CONFIRMED,Cardmarket candidate ids=733664; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23424,25297,069,Bellsprout,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733664; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23425,25298,070,Weepinbell,normal,,CONFIRMED,Cardmarket candidate ids=733665; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23425,25299,070,Weepinbell,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733665; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23426,25300,071,Victreebel,normal,,CONFIRMED,Cardmarket candidate ids=733666; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
