collector_number,card_name,tcgdex_card_id,tcgdex_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,normal_product_ids,holo_product_ids,reverse_product_ids,cardmarket_variant_product_ids,updated_at,cardmarket_currency,tcgplayer_currency,identity_note
133,Eevee,sv03.5-133,EXACT,True,False,True,True,False,True,[516696],[],[516696],"{""holo"":[],""normal"":[733728,748475,845405],""reverse_holo"":[733728]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
134,Vaporeon,sv03.5-134,EXACT,False,True,True,False,True,True,[],[516697],[516697],"{""holo"":[733729],""normal"":[],""reverse_holo"":[733729]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
135,Jolteon,sv03.5-135,EXACT,False,True,True,False,True,True,[],[516698],[516698],"{""holo"":[733730],""normal"":[],""reverse_holo"":[733730]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
136,Flareon,sv03.5-136,EXACT,False,True,True,False,True,True,[],[516699],[516699],"{""holo"":[733731],""normal"":[],""reverse_holo"":[733731]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
137,Porygon,sv03.5-137,EXACT,True,False,True,True,False,True,[516700],[],[516700],"{""holo"":[],""normal"":[733732],""reverse_holo"":[733732]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
138,Omanyte,sv03.5-138,EXACT,True,False,True,True,False,True,[516701],[],[516701],"{""holo"":[],""normal"":[733733],""reverse_holo"":[733733]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
139,Omastar,sv03.5-139,EXACT,False,True,True,False,True,True,[],[516702],[516702],"{""holo"":[733734],""normal"":[],""reverse_holo"":[733734]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
140,Kabuto,sv03.5-140,EXACT,True,False,True,True,False,True,[516703],[],[516703],"{""holo"":[],""normal"":[733735],""reverse_holo"":[733735]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
141,Kabutops,sv03.5-141,EXACT,False,True,True,False,True,True,[],[516704],[516704],"{""holo"":[733736],""normal"":[],""reverse_holo"":[733736]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
142,Aerodactyl,sv03.5-142,EXACT,False,True,True,False,True,True,[],[516705],[516705],"{""holo"":[733737],""normal"":[],""reverse_holo"":[733737]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
143,Snorlax,sv03.5-143,EXACT,True,False,True,True,False,True,[516706],[],[516706],"{""holo"":[],""normal"":[733738],""reverse_holo"":[733738]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
144,Articuno,sv03.5-144,EXACT,False,True,True,False,True,True,[],[516707],[516707],"{""holo"":[733739],""normal"":[],""reverse_holo"":[733739]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
145,Zapdos ex,sv03.5-145,EXACT,False,True,False,False,True,False,[],[516708],[],"{""holo"":[733740],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
146,Moltres,sv03.5-146,EXACT,False,True,True,False,True,True,[],[516709],[516709],"{""holo"":[733741],""normal"":[],""reverse_holo"":[733741]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
147,Dratini,sv03.5-147,EXACT,True,False,True,True,False,True,[516710],[],[516710],"{""holo"":[],""normal"":[733742],""reverse_holo"":[733742]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
148,Dragonair,sv03.5-148,EXACT,True,False,True,True,False,True,[516711],[],[516711],"{""holo"":[],""normal"":[733743],""reverse_holo"":[733743]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
149,Dragonite,sv03.5-149,EXACT,False,True,True,False,True,True,[],[516712],[516712],"{""holo"":[733744],""normal"":[],""reverse_holo"":[733744]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
150,Mewtwo,sv03.5-150,EXACT,False,True,True,False,True,True,[],[516713],[516713],"{""holo"":[733745],""normal"":[],""reverse_holo"":[733745]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
151,Mew ex,sv03.5-151,EXACT,False,True,False,False,True,False,[],[516566],[],"{""holo"":[733746],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
152,Antique Dome Fossil,sv03.5-152,EXACT,True,False,True,True,False,True,[516714],[],[516714],"{""holo"":[],""normal"":[733747],""reverse_holo"":[733747]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
153,Antique Helix Fossil,sv03.5-153,EXACT,True,False,True,True,False,True,[516715],[],[516715],"{""holo"":[],""normal"":[733748],""reverse_holo"":[733748]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
154,Antique Old Amber,sv03.5-154,EXACT,True,False,True,True,False,True,[516716],[],[516716],"{""holo"":[],""normal"":[733749],""reverse_holo"":[733749]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
155,Big Air Balloon,sv03.5-155,EXACT,True,False,True,True,False,True,[516717],[],[516717],"{""holo"":[],""normal"":[733750],""reverse_holo"":[733750]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
156,Bill’s Transfer,sv03.5-156,MISMATCH,True,False,True,True,False,True,[516718],[],[516718],"{""holo"":[],""normal"":[733751],""reverse_holo"":[733751]}",2026-08-14T19:11:56+01:00,EUR,USD,"name ""Bill's Transfer"" != 'Bill’s Transfer'"
157,Cycling Road,sv03.5-157,EXACT,True,False,True,True,False,True,[516719],[],[516719],"{""holo"":[],""normal"":[733752],""reverse_holo"":[733752]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
158,Daisy’s Help,sv03.5-158,MISMATCH,True,False,True,True,False,True,[516720],[],[516720],"{""holo"":[],""normal"":[733753],""reverse_holo"":[733753]}",2026-08-14T19:11:56+01:00,EUR,USD,"name ""Daisy's Help"" != 'Daisy’s Help'"
159,Energy Sticker,sv03.5-159,EXACT,True,False,True,True,False,True,[516721],[],[516721],"{""holo"":[],""normal"":[733754],""reverse_holo"":[733754]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
160,Erika’s Invitation,sv03.5-160,MISMATCH,True,False,True,True,False,True,[516722],[],[516722],"{""holo"":[],""normal"":[733755],""reverse_holo"":[733755]}",2026-08-14T19:11:56+01:00,EUR,USD,"name ""Erika's Invitation"" != 'Erika’s Invitation'"
161,Giovanni’s Charisma,sv03.5-161,MISMATCH,True,False,True,True,False,True,[516723],[],[516723],"{""holo"":[],""normal"":[733756],""reverse_holo"":[733756]}",2026-08-14T19:11:56+01:00,EUR,USD,"name ""Giovanni's Charisma"" != 'Giovanni’s Charisma'"
162,Grabber,sv03.5-162,EXACT,True,False,True,True,False,True,[516724],[],[516724],"{""holo"":[],""normal"":[733757],""reverse_holo"":[733757]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
163,Leftovers,sv03.5-163,EXACT,True,False,True,True,False,True,[516725],[],[516725],"{""holo"":[],""normal"":[733758],""reverse_holo"":[733758]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
164,Protective Goggles,sv03.5-164,EXACT,True,False,True,True,False,True,[516726],[],[516726],"{""holo"":[],""normal"":[733759],""reverse_holo"":[733759]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
165,Rigid Band,sv03.5-165,EXACT,True,False,True,True,False,True,[516727],[],[516727],"{""holo"":[],""normal"":[733760],""reverse_holo"":[733760]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
166,Bulbasaur,sv03.5-166,EXACT,False,True,False,False,True,False,[],[516997],[],"{""holo"":[733761],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
167,Ivysaur,sv03.5-167,EXACT,False,True,False,False,True,False,[],[516998],[],"{""holo"":[733762],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
168,Charmander,sv03.5-168,EXACT,False,True,False,False,True,False,[],[502556],[],"{""holo"":[733763],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
169,Charmeleon,sv03.5-169,EXACT,False,True,False,False,True,False,[],[517018],[],"{""holo"":[733764],""normal"":[],""reverse_holo"":[]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
